texto,label
STF decide como será a eleição no Rio com cassação de Castro; entenda o que está em jogo,1
CPI rejeita proposta de indiciamento de ministros do STF,1
Pesquisa mostra o número que mais dificulta o avanço de Flávio Bolsonaro sobre Lula,1
Band foi pressionada a demitir comentarista após ele criticar o conluio entre o STF e a PGR contra Bolsonaro,0
"Vídeo com imagens da ponte rodoferroviária Rollemberg-Vuolo, em que o narrador detalha informações do projeto. Sobrepostas aos vídeos estão fotos de Jair e Michelle Bolsonaro, dando a entender que o empreendimento foi uma iniciativa do governo do ex-presidente.",0
"Deputado do PT blinda governo Lula, segura 600 pedidos e barra questões sobre Banco Master",1
Avião do presidente Lula foi interceptado com malas de dinheiro ligadas à fraude no INSS,0
STF mantém prisão de ex-presidente do BRB; Toffoli se declara impedido,1
A GloboNews cortou do Globoplay a fala da Daniela Lima sobre uma troca de mensagens com um ministro do STF,0
"Flávio Bolsonaro diz que, se eleito, usará seu prestígio no Congresso para reduzir maioridade penal",1
"Sergio Moro lidera em todos os cenários para governo do Paraná, diz Genial/Quaest",1
No meu governo a gente colocou a CGU como ministro para fiscalizar,0
"Vídeo que circula no TikTok, no qual torcedores do Flamengo aparecem supostamente xingando o candidato à presidência Lula durante uma partida de futebol no Maracanã.",0
Bolsonaro se queixa de 'dor intermitente' no ombro e PGR não se opõe a realização de cirurgia,1
A reação das lideranças evangélicas à rejeição de Jorge Messias para o STF,1
Ação mira Flávio Bolsonaro e Silas por propaganda eleitoral antecipada,1
Mendonça trava julgamento no STF contra Eduardo Bolsonaro,1
PF vê indícios de ligação do PCC e banco que financia pesquisas favoráveis ao Lula,0
Lula x Flávio: nova pesquisa Real Time Big Data mostra disputa após derrotas do presidente,1
"O ex-general Pollo Carvajal, da Colômbia, denunciou que o ex-ministro do STF Joaquim Barbosa foi o mandante da morte do também ex-ministro Teori Zavascki.",0
PGR foi contra mudanças nas regras da delação premiada em ação no STF,1
O estado onde Flávio Bolsonaro tem vantagem de quase 30 pontos sobre Lula,1
STF não tem tem competência para decidir medidas da execução penal de Jair Bolsonaro,0
"Lula ladrão, seu lugar é na prisão, na inauguração de ponte construída por Bolsonaro",0
"Advogado Montenegro se matou após decisões arbitrárias do STF, onde foi condenado pelo 8 de Janeiro",0
Presidente do PT confirma que Lula será candidato à reeleição,1
Congresso analisa veto de Lula ao PL da Dosimetria; entenda o cenário,1
E todo mundo achando que o presidente Bolsonaro estava inelegível: ele vai passar a mandar no Brasil caso o PL assuma a presidência da Câmara,0
"Flávio Bolsonaro e Caiado poupam munição contra ministros, e Zema se firma como candidato anti-STF",1
"Lula disse: 'Não se ganha copa com hospitais, vou construir estádios de futebol'; 'Ainda bem que a ‘natureza’ criou o coronavírus'; 'Um político ladrão é mais digno que um funcionário público'; 'Eu não vou enganar o povo mais uma vez'; e 'Eu não posso ver mais jovem de 14, 15 anos, assaltando e sendo violentado pela polícia só porque roubou um celular'",0
